year,value,for_sale,comments,beanie_name
1980,1943.04,0,Magnam ipsum adipisci ut est etincidunt,Coolston
1992,536.74,0,Neque velit velit eius non aliquam neque,Coop
2012,984.27,0,Quiquia velit eius modi voluptatem porro amet ut,Copper
1981,1765.59,0,Dolore etincidunt neque modi,Copper
2019,1958.14,0,Dolore dolorem adipisci sit,Coral
2008,222.42,0,Labore dolor dolor ut adipisci ipsum neque est,Coral Casino
1981,1064.90,0,Amet labore eius dolore,Coreana
1987,334.26,0,Amet velit aliquam sit numquam tempora,Corky
2018,633.79,0,Porro neque dolore consectetur,Cornbread
1990,1713.41,0,Sed non dolorem neque voluptatem ipsum porro,Cornstalk
2016,1148.00,0,Labore eius etincidunt labore,Corsage
2016,1742.49,0,Amet etincidunt eius eius voluptatem,Cotton
2018,589.55,0,Voluptatem sit adipisci sed dolore ut dolorem quaerat,Cotton Tail
2017,521.25,0,Labore adipisci ut labore dolor ut aliquam,Cottonball
2000,542.80,0,Numquam amet quisquam modi amet,Count
2011,1272.11,0,Amet adipisci est ut consectetur amet quisquam porro,Countdown
2019,1317.28,0,Ut etincidunt non ut aliquam consectetur,Countess
1983,483.98,0,Neque voluptatem sit amet tempora voluptatem,Courage
1986,1943.73,0,Quisquam neque dolor modi velit dolore sit est,Courage
1995,579.96,0,Quisquam voluptatem quaerat est neque est labore velit,Courage
2006,72.87,0,Etincidunt aliquam aliquam est modi,Courageous
1987,867.49,0,Aliquam labore dolor voluptatem,Courageous
1997,1958.26,0,Non neque voluptatem aliquam voluptatem labore modi sit,Courageous
1981,541.88,0,Quaerat magnam non magnam non ut,Courageously
1994,1645.33,0,Neque ut dolore consectetur etincidunt dolore est,Courageously
1996,1547.63,0,Numquam quisquam dolorem eius dolor,Courageously
1989,1307.99,0,Numquam ut ut dolorem adipisci tempora,Courageousness
2000,239.89,0,Magnam neque neque aliquam neque non ut,Courageousness
1996,1606.16,0,Ut dolorem sed porro magnam non dolor aliquam,Courageousness
1999,1938.35,0,Aliquam ut consectetur neque ipsum,Creampuff
1981,284.76,0,Quaerat sed ipsum dolor magnam est ut,Creamy
1985,1852.17,0,Voluptatem consectetur dolor dolor voluptatem dolor sed ipsum,Creepers
1987,984.27,0,Aliquam adipisci modi porro,Cricket
1981,1460.81,0,Dolore ipsum neque dolorem non quaerat ut,Crinkles
2015,664.09,0,Quaerat labore tempora labore adipisci est,Croaks
2003,1919.69,0,Etincidunt magnam quisquam quaerat,Crooner
1994,296.97,0,Magnam ut eius ut neque etincidunt non quaerat,Crunch
2016,1490.81,0,Dolorem modi sed est ut non quisquam quiquia,Cruz Ramirez
2003,558.06,0,Dolore modi consectetur dolorem porro,Cuatro
2000,68.38,0,Amet etincidunt quisquam quaerat ipsum,Cubbie
1980,916.47,0,Magnam dolore sit amet dolorem sit,Cubbie
2008,1130.96,0,Aliquam voluptatem consectetur modi dolorem dolor tempora sed,Cupid
1988,1848.47,0,Adipisci non dolore sit etincidunt quisquam magnam est,Cure
1989,220.29,0,Ipsum velit eius amet modi est,Curls
1997,636.22,0,Voluptatem modi dolore ut aliquam aliquam,Curly
1998,1329.90,0,Ipsum amet quaerat sit tempora porro,Curtsy
1987,676.02,0,Quiquia quiquia sit porro quaerat quisquam dolorem neque,Cutesy
1985,537.82,0,Ut amet magnam neque tempora modi,DUCK
2017,1656.27,0,Quiquia etincidunt adipisci etincidunt voluptatem porro quiquia numquam,Dabbles
2016,691.20,0,Ut non tempora sit dolor tempora,Dad
1991,124.93,0,Amet etincidunt sed modi,Dad
2005,1089.90,0,Tempora etincidunt modi numquam,Dad 2006
1991,1573.00,0,Voluptatem consectetur ut consectetur quiquia neque eius voluptatem,Dad 2007
2007,1576.10,0,Quisquam ipsum quaerat consectetur modi quaerat modi sed,Daddy Pig
2007,1438.15,0,Dolore etincidunt porro sit dolore etincidunt numquam quisquam,Daddy Pig
1984,81.34,0,Est neque numquam quaerat,Daffodil
2003,1431.68,0,Consectetur quaerat voluptatem est est ipsum porro,Daffy Duck
2010,868.17,0,Ut sed labore est labore voluptatem,Daichi
1988,1220.53,0,Aliquam sed tempora ut neque quisquam,Dainty
2006,729.63,0,Labore amet modi amet magnam quisquam labore,Daisy
1991,774.72,0,Adipisci velit quaerat eius,Daisy
2002,998.10,0,Non voluptatem etincidunt quaerat adipisci consectetur non est,Dallas Cowboys
1990,1622.11,0,Numquam etincidunt quaerat tempora amet,Dancy
1983,597.79,0,Amet tempora numquam eius,Danny Dog
1994,1680.05,0,Tempora etincidunt dolor dolorem dolor sit ipsum quaerat,Darling
1990,1189.96,0,Etincidunt non quaerat est dolor quaerat,Dart
1997,1871.22,0,Amet aliquam magnam velit,Dash
1994,562.96,0,Etincidunt quiquia dolore amet adipisci,Dave
1998,1719.36,0,Tempora aliquam quisquam numquam,Dear
1984,274.79,0,Modi adipisci sit neque modi modi porro est,Dear Dad
1994,1734.88,0,Numquam non sed est dolor,Dear Grandma
1996,1197.67,0,Velit neque modi eius sit,Dear Grandpa
2013,1692.91,0,Quisquam eius dolorem magnam quiquia etincidunt,Dear Heart
1988,25.73,0,Non dolorem consectetur neque adipisci sit magnam neque,Dear Mom
2015,912.74,0,Tempora tempora est eius,Dear One
2012,1095.54,0,Voluptatem etincidunt ipsum dolore,Dearest
1985,1778.80,0,Est quisquam voluptatem quisquam numquam aliquam dolore,Dearly
2018,1886.76,0,Amet consectetur ut sit quiquia,Decade
2019,1705.60,0,Quiquia eius sed labore aliquam ut numquam quiquia,Decade
1995,254.74,0,Ut etincidunt adipisci neque,Decade
1985,1994.40,0,Porro etincidunt quiquia quiquia,Decade
2014,158.14,0,Ipsum est dolorem consectetur sed etincidunt est eius,Decade
1986,1124.39,0,Non numquam sit tempora amet etincidunt tempora,Decade
1992,161.41,0,Tempora porro ut numquam labore numquam,Decade
1997,1044.31,0,Dolor quisquam eius dolore etincidunt sit,Decade
1986,1740.87,0,Aliquam tempora magnam etincidunt amet,Decade
1981,1018.90,0,Dolore non ut aliquam,Decade
2007,1977.60,0,Ut numquam ut quiquia est porro quiquia aliquam,December
1990,317.06,0,Ipsum quisquam porro ipsum dolorem ut,December
1991,1998.68,0,Non porro amet etincidunt aliquam non,Deke
1984,724.10,0,Etincidunt eius etincidunt numquam velit,Deke
2003,1842.08,0,Adipisci amet tempora sit magnam dolore,Delights
1980,1520.27,0,Quaerat tempora est magnam eius dolorem velit tempora,Delilah
1995,1824.44,0,Tempora sed adipisci tempora voluptatem,Demure
2005,1250.81,0,Voluptatem ut eius quisquam,Denny Hamlin 11
2007,645.41,0,Dolore quisquam ut velit ipsum ipsum,Denver
1997,1436.38,0,Non velit ut est,Denver Broncos
2017,1995.93,0,Ut magnam aliquam sed,Deputy
2015,88.20,0,Voluptatem velit porro quiquia,Derby
1988,454.39,0,Ut aliquam magnam dolore sit amet,Derby
1998,1453.49,0,Modi tempora porro consectetur,Derby
2003,291.30,0,Etincidunt numquam consectetur magnam est porro quaerat adipisci,Derby
2004,602.79,0,Numquam non neque amet voluptatem sed velit etincidunt,Derby 132
1990,761.24,0,Adipisci tempora non aliquam quisquam modi porro,Derby 132
1987,802.57,0,Quaerat dolorem aliquam non,Derby 133
1989,538.39,0,Est non numquam tempora numquam,Derby 133
1986,29.26,0,Velit dolore quaerat quiquia,Derby 133
1992,1889.49,0,Sed etincidunt non non consectetur porro neque etincidunt,Derby 134
2014,987.54,0,Dolorem porro dolorem modi,Derby 134
2002,1286.72,0,Ut sit voluptatem dolore,Derby 134
1986,1889.20,0,Voluptatem modi quisquam sit,Derby 134
2018,768.62,0,Ipsum voluptatem ut ipsum velit,Destiny
2007,1748.86,0,Labore eius etincidunt neque labore adipisci tempora quiquia,Detroit Red Wings
2018,825.71,0,Dolorem quisquam adipisci quiquia,Detroit Tigers
1998,1632.71,0,Dolor eius porro numquam voluptatem est quaerat,Deuce
1987,115.06,0,Est labore adipisci ut dolore dolore,Deuce
1995,298.16,0,Sed numquam ut est voluptatem,Deutschland
2005,1213.18,0,Non etincidunt etincidunt labore quaerat labore,Deutschland
2016,94.93,0,Porro amet voluptatem tempora adipisci sed dolore modi,Dewi Y Ddraig
1998,1571.28,0,Aliquam non etincidunt quisquam quiquia consectetur tempora,Dewi Y Ddraig
1996,1928.54,0,Voluptatem non modi quiquia sed,Diddley
1983,359.79,0,Dolorem dolore magnam velit magnam amet voluptatem,Diego
1986,1075.82,0,Quisquam etincidunt aliquam dolore magnam eius consectetur,Diego
1988,1143.19,0,Amet quiquia porro modi quiquia sed porro ut,Diego
2002,1056.14,0,Dolore dolorem amet aliquam consectetur adipisci porro ipsum,Diego
1993,1574.53,0,Ut sit porro non neque tempora,Digger
1981,316.33,0,Ipsum labore sed dolore tempora,Digger orange
1988,715.50,0,Adipisci adipisci amet magnam etincidunt numquam non,Digger red
1983,1567.35,0,Numquam modi adipisci sed modi amet,Diggidy
1997,1133.64,0,Amet quisquam ipsum neque dolore non aliquam dolor,Diggs
2019,496.57,0,Ipsum dolore etincidunt neque ipsum etincidunt sed,Dimples
2002,1913.39,0,Dolorem tempora non eius non neque dolore sed,Dinky
2009,1330.21,0,Modi est numquam est est adipisci ipsum,Dippy
2012,1228.21,0,Voluptatem dolor amet etincidunt neque sit sed,Dipsy
2006,116.60,0,Est non labore aliquam aliquam sit aliquam etincidunt,Discover
1981,930.95,0,Non numquam ut numquam,Discover
2013,1939.69,0,Tempora modi velit dolorem dolor adipisci,Discover
1989,143.77,0,Velit sit dolorem dolor,Divalectable
2014,670.91,0,Labore quiquia neque labore numquam dolore dolorem quiquia,Divalectable
1995,1884.85,0,Non eius dolorem neque neque sit dolor,Divalightful
1998,89.73,0,Numquam sit voluptatem sed voluptatem,Dizz
2009,1004.98,0,Tempora eius sed voluptatem,Dizzy
2017,278.88,0,Quiquia tempora etincidunt neque,Dizzy
1991,1458.60,0,Magnam adipisci sed quisquam numquam est neque sed,Dizzy
2009,1933.05,0,Non velit aliquam non est,Dizzy
1983,938.95,0,Labore dolorem consectetur adipisci consectetur quiquia quaerat tempora,Dizzy
1986,1638.90,0,Eius adipisci quiquia porro sit,Dizzy
1993,1447.28,0,Neque porro sit porro non,Doby
1987,1589.24,0,Dolor sit sed ut quiquia,Docks
1993,283.03,0,Ipsum neque modi adipisci,Docks
1992,698.01,0,Eius modi sit amet voluptatem,Dog
2015,1799.16,0,Non amet neque porro,Dominion
2009,1659.41,0,Dolorem etincidunt dolore porro neque dolorem ipsum,Donatello
1985,985.70,0,Etincidunt eius dolor non,Donkey
2009,321.52,0,Dolore quaerat amet modi dolorem dolore non dolore,Donkey
2012,980.95,0,Neque sit quaerat etincidunt voluptatem,Doodle
2011,1783.65,0,Porro numquam modi dolorem labore neque eius,Doogie
1991,1970.08,0,Est eius dolore eius non ipsum magnam,Dooley
1988,1243.77,0,Amet dolore quisquam sit,Dora
1988,1107.35,0,Est dolore porro sit,Dora
1988,485.87,0,Ipsum ipsum quisquam neque dolor labore dolorem porro,Dora
1999,1895.82,0,Non dolorem quiquia tempora neque amet consectetur,Dora
1981,1328.95,0,Velit velit tempora amet numquam dolore dolor sed,Dora
1981,1222.39,0,Ipsum voluptatem neque dolore tempora quisquam,Dora
1980,584.84,0,Etincidunt tempora labore quaerat numquam,Dora
1997,1440.23,0,Etincidunt quaerat est quiquia quaerat,Dora
2019,915.21,0,Sed sit eius sed adipisci porro numquam,Dora
2016,1930.93,0,Consectetur non velit eius sed neque,Dora
2002,1479.32,0,Ut voluptatem sit etincidunt,Dora
1994,1994.20,0,Ipsum modi consectetur quisquam,Dora
2019,768.73,0,Dolore dolorem tempora ut voluptatem ipsum,Dora
2006,1804.53,0,Etincidunt sit modi sed etincidunt sit consectetur,Dora
1987,978.04,0,Neque quisquam numquam dolor numquam dolorem,Dora Del Tenis
1999,1272.96,0,Amet quiquia eius modi dolor ut,Dora Del Tenis
2011,1780.32,0,Sit etincidunt ipsum etincidunt,Dory
2016,134.15,0,Dolorem sed eius sed porro,Dos
1990,422.60,0,Aliquam modi aliquam sit est sed magnam etincidunt,Dotson
1993,1806.84,0,Adipisci quisquam aliquam quiquia quaerat consectetur sed,Dotty
1980,1656.45,0,Adipisci numquam magnam etincidunt velit magnam porro sed,Down Under
2015,1770.63,0,Neque labore porro aliquam quisquam quisquam sit tempora,Dr. Jack the Helping Dog
2011,949.09,0,Velit voluptatem aliquam sed ut eius aliquam,Dragon
1983,1738.96,0,Etincidunt labore aliquam quaerat,Dreamer
2003,1647.19,0,Ut quaerat magnam etincidunt dolorem ut velit,Drumstick
2007,1687.53,0,Modi voluptatem eius sit,Dublin
2002,694.67,0,Numquam magnam consectetur dolore,Duchess
2001,318.82,0,Consectetur est quiquia modi dolorem etincidunt,Duckers
2002,1609.79,0,Dolorem sit consectetur numquam quaerat neque ut,Duckling
1982,63.65,0,Non est adipisci est neque,Duke
1989,1217.37,0,Aliquam dolor adipisci est neque quaerat,Dundee
1980,1927.02,0,Etincidunt labore dolor voluptatem dolorem,Durango
1993,1211.43,0,Adipisci quisquam quisquam est dolore magnam quiquia modi,Dusty
2012,657.42,0,Quiquia consectetur amet quiquia neque dolor etincidunt,Dwynwen
1994,1311.98,0,Eius voluptatem neque numquam,ECHO ECHO
1990,626.63,0,Quaerat quisquam quisquam ut labore quisquam,END OF HELLO KITTY SECTION
2010,20.94,0,Eius non quaerat amet labore est ut,Early
1988,1612.98,0,Velit consectetur adipisci est sit voluptatem modi modi,Ears
1990,1340.97,0,Porro magnam amet velit,Ebony
1991,1690.44,0,Sed sit dolor non consectetur ipsum,Echo
1982,1609.39,0,Est consectetur non aliquam ut labore tempora tempora,Eggbeart
2010,489.64,0,Neque etincidunt quaerat quiquia amet aliquam voluptatem velit,Eggbert
1991,1251.74,0,Magnam ut adipisci quisquam dolore eius,Eggerton
2000,789.84,0,Quaerat modi ipsum est dolore eius dolor quaerat,Eggnog
2019,1784.99,0,Magnam etincidunt ut modi quisquam voluptatem quaerat,Eggs
2018,1560.58,0,Quaerat est sed non numquam modi,Eggs 2004
1980,587.88,0,Etincidunt adipisci quaerat quiquia numquam amet numquam dolor,Eggs 2005
2015,355.25,0,Sit sit tempora aliquam dolor magnam,Eggs 2006
2016,1427.40,0,Sit aliquam ut adipisci,Eggs 2007
1995,486.30,0,Etincidunt voluptatem ipsum aliquam,Eggs 2008
1999,1331.79,0,Labore sed voluptatem modi numquam quaerat,Eggs 2008
2010,1070.26,0,Adipisci etincidunt consectetur dolore dolor ut,Eggs II
1980,1917.10,0,Consectetur ut adipisci adipisci porro sed aliquam,Eggs III
2002,1729.58,0,Quisquam porro est porro amet non,Eglantine
1981,1518.14,0,Voluptatem tempora dolor porro adipisci tempora,Elbrus
2014,1920.54,0,Neque adipisci sed numquam quiquia sed quaerat,Elbrus
1988,1670.77,0,Adipisci dolore quisquam est,Eleanor
2004,575.23,0,Consectetur consectetur neque labore quiquia labore dolor,Elfis
2014,594.27,0,Magnam dolor tempora labore velit quisquam,Elliott Sadler #19
2000,740.58,0,Non porro sit consectetur dolore dolore ut quisquam,Emily Elephant
2004,248.86,0,Consectetur ipsum quaerat quiquia sed,Employee Bear
2017,1815.23,0,Dolorem non sed ipsum non modi aliquam,Enchanting
2009,1169.06,0,Voluptatem amet dolor dolor consectetur dolor,"Energizer Bunny ""E.B."""
2003,355.72,0,Est consectetur consectetur porro ipsum dolore ipsum ut,England
1992,997.84,0,Sed quisquam non adipisci tempora tempora,England
1983,562.06,0,Dolore tempora velit est velit aliquam quisquam,Enigma
1987,1182.69,0,Etincidunt amet porro numquam labore quaerat,Erin
2019,775.61,0,Consectetur quaerat dolor consectetur quaerat voluptatem quisquam velit,Erin
2013,1402.42,0,Dolorem est est adipisci dolorem,Eucalyptus
1980,1860.08,0,Dolorem etincidunt sed sit porro non eius,Ewey
1983,420.43,0,Quisquam voluptatem voluptatem modi velit ipsum sed consectetur,Fable
2001,1546.00,0,Labore aliquam dolore numquam labore,Fabulous Lightning McQueen
2014,1323.83,0,Etincidunt magnam aliquam amet dolor consectetur dolore quaerat,Fairydust
1998,1551.66,0,Labore est quisquam sit aliquam adipisci porro dolore,Fairytale
1982,149.32,0,Eius modi quiquia neque ipsum non amet,Fancy
1985,1523.29,0,Sed quiquia eius sed velit dolor,Farley
2000,1669.33,0,Porro sed est voluptatem quaerat,Fauna
2017,1421.04,0,Modi eius ipsum quaerat sit etincidunt sed velit,Fay
1991,837.14,0,Quisquam consectetur quiquia numquam non,Fearless
2008,843.32,0,Est labore quiquia sit quaerat consectetur non quaerat,Fearless
2011,637.45,0,Dolore velit ut dolor adipisci voluptatem quaerat,Feastings
2017,175.67,0,Consectetur tempora voluptatem numquam numquam numquam,February
1983,557.14,0,Consectetur dolorem ipsum quisquam,February
2007,1597.05,0,Non tempora dolore dolor,Feder
1982,257.27,0,Adipisci modi dolore dolorem quisquam,Feder
2006,1025.65,0,Dolore non consectetur eius,Feder
1984,1268.77,0,Porro ipsum etincidunt modi modi,Ferdinand
2005,1833.85,0,Sed neque quaerat amet etincidunt magnam quiquia consectetur,Ferny
2006,1143.11,0,Amet quiquia dolor dolorem non amet magnam numquam,Fetch
1996,1198.28,0,Sed voluptatem voluptatem numquam,Fetch
2001,1759.85,0,Quaerat eius sit dolore ipsum etincidunt eius,Fetcher
2001,1549.62,0,Quisquam aliquam ut sit quaerat quisquam consectetur,Fiddler
1983,720.47,0,Non adipisci dolor porro,Fidget
1995,973.34,0,Consectetur numquam tempora quiquia neque,Fields
1982,1000.90,0,Velit consectetur labore quaerat dolore ipsum numquam,Filly
1983,61.46,0,Ut voluptatem tempora modi numquam,Fin
1984,242.69,0,Tempora neque dolore eius magnam modi modi,Finn
1984,976.13,0,Est adipisci modi dolor quiquia dolor,Finn
1997,1623.22,0,Velit velit voluptatem dolorem adipisci quaerat,Fins
1997,1165.38,0,Modi eius est dolore,Fire
1982,1547.75,0,Eius labore consectetur etincidunt labore,Fireplug
2017,1162.47,0,Labore aliquam porro aliquam,Fireworks
1987,400.94,0,Numquam amet amet neque numquam,First Dog
1984,1055.43,0,Adipisci dolore voluptatem dolor numquam neque non sed,First Mate Patrick
2012,29.21,0,Labore consectetur dolorem quaerat dolorem non quiquia amet,Fitz
1986,797.80,0,Modi ipsum labore ipsum modi dolorem sed,Fizz
2002,411.05,0,Neque ut labore quisquam eius,Fizzer
2014,126.46,0,Amet labore sed quisquam adipisci,Flaky
2005,1305.19,0,Non etincidunt eius aliquam aliquam,Flash
1999,132.37,0,Non numquam porro labore dolor,Flash
2008,983.45,0,Tempora eius non non quiquia numquam quiquia etincidunt,Flash
2014,157.83,0,Etincidunt labore amet amet ipsum voluptatem magnam,Flashy
1994,1526.67,0,Porro tempora dolor sed consectetur,Fleece
1992,1211.66,0,Sed quiquia adipisci quaerat,Fleecia
1991,939.13,0,Numquam quiquia tempora magnam porro,Fleecie
1982,215.99,0,Porro labore consectetur ut numquam velit modi,Fletch
2011,159.30,0,Velit dolorem non quisquam consectetur non,Fleur
1999,1406.69,0,Etincidunt ut voluptatem etincidunt quaerat sit porro,Flicker
1992,237.35,0,Non velit sed quaerat sit dolorem,Flip
2004,1190.81,0,Numquam dolorem amet amet sit,Flitter
2014,1083.47,0,Quisquam consectetur ut ut numquam,Float
2010,1105.19,0,Ut velit dolor aliquam dolore quisquam numquam,Floppity
1988,1845.20,0,Eius dolor modi eius,Flopsy
1984,463.14,0,Ipsum dolor sed velit modi tempora velit consectetur,Flora
1981,565.76,0,Sit quisquam quaerat ut modi non ut aliquam,Florida
2007,329.21,0,Modi numquam aliquam modi consectetur ipsum,Flower
1995,1248.19,0,Labore eius labore est est dolorem dolorem,Floxy
2017,886.82,0,Sit sed dolore dolore etincidunt,Fluff
1998,1388.61,0,Porro consectetur est aliquam magnam tempora,Fluffball
1990,782.69,0,Adipisci non voluptatem numquam non velit dolore quisquam,Fluffy
1980,155.86,0,Velit numquam tempora est etincidunt,Flurry
2002,684.90,0,Dolore numquam sit magnam sit labore non velit,Flutter
1986,1838.23,0,Adipisci ipsum etincidunt consectetur voluptatem,Fluttershy
2009,174.77,0,Dolor dolor dolorem numquam ipsum aliquam neque,Fluttershy
1988,285.79,0,Quisquam neque velit aliquam neque voluptatem quaerat amet,Foofa
1998,284.68,0,Est quisquam dolore dolorem magnam tempora,Foofa
2004,15.40,0,Non amet voluptatem voluptatem velit modi,Football Star
1997,837.90,0,Etincidunt quisquam ipsum tempora etincidunt quisquam,Forever Friends
1998,1474.03,0,Etincidunt modi amet amet dolore sit amet,Fortress
2011,1984.22,0,Quiquia dolore non voluptatem non,Fortune
1985,480.66,0,Ut quisquam ipsum sit quaerat modi non sit,Founders
2013,760.44,0,Labore est adipisci modi quisquam,Fraidy
2007,754.48,0,Magnam amet voluptatem dolorem sed,Frank
1980,1640.58,0,Quaerat neque ut numquam magnam,Frank
1980,115.02,0,Sed dolorem numquam non velit adipisci adipisci,Frankenteddy
1986,523.37,0,Dolor consectetur non dolor,Franklin
1988,1051.93,0,Quaerat labore non quaerat,Freckles
2010,431.20,0,Etincidunt ipsum quisquam quaerat tempora,Freckles
1998,716.65,0,Dolore quiquia modi amet labore consectetur,Freddy
2002,398.20,0,Aliquam dolor etincidunt quaerat,Free
1989,72.29,0,Magnam sed voluptatem dolor porro dolorem labore,Free
2002,361.97,0,Quaerat non velit aliquam,Freezie
2018,153.46,0,Tempora quiquia tempora ut dolore dolorem quiquia quisquam,Freezie
2008,256.38,0,Eius ut quisquam quiquia numquam,Freiherr Von Schwarz
1999,1526.94,0,Dolorem amet porro neque consectetur quaerat neque,Fridge
2011,1451.22,0,Etincidunt tempora voluptatem dolore quisquam,Friedrich
1987,245.38,0,Quaerat voluptatem eius numquam modi quiquia,Friends
2004,1213.29,0,Numquam eius est labore amet porro velit velit,Frightful
1994,1328.34,0,Tempora ut porro non porro,Frigid
2005,1945.30,0,Aliquam ipsum est magnam dolor,Frills
2014,1259.87,0,Dolorem voluptatem dolor quaerat ut etincidunt,Frisbee
1993,609.47,0,Magnam etincidunt sit dolore adipisci dolorem,Frisco
1997,1855.17,0,Voluptatem labore quisquam sed,Frisky
1986,1523.27,0,Est aliquam modi amet dolorem eius tempora amet,Fritters
1993,1236.65,0,Adipisci labore modi modi labore,Frolic
2010,1586.31,0,Est eius etincidunt ipsum quisquam ipsum est,Frolics
2008,890.46,0,Neque consectetur voluptatem amet,Frostiness
1990,1233.21,0,Consectetur quiquia quisquam adipisci adipisci labore ipsum,Frosty
2007,1050.25,0,Sed aliquam adipisci adipisci,Fuddle
1984,808.52,0,Etincidunt quiquia quiquia est,Fuli
2002,389.58,0,Est consectetur quaerat dolor consectetur adipisci labore,Fumbles
2008,1565.43,0,Porro dolor ipsum dolorem tempora,Fun
1983,1783.06,0,Dolorem adipisci quaerat modi,Fun
1998,144.01,0,Ipsum porro sit ut amet ut modi,Funky
1997,1348.10,0,Eius aliquam numquam etincidunt quaerat est,Furston
2014,660.38,0,Neque sed velit ut,Fussy
1986,207.64,0,Numquam etincidunt sit dolor labore non tempora,Fuzz
2000,1420.65,0,Etincidunt sed ipsum modi voluptatem sit,Gallops
1989,301.80,0,Porro tempora labore est modi non,Garcia
2001,527.63,0,Ut ut sit sit numquam consectetur numquam dolor,Gardenia
1984,71.51,0,Aliquam quisquam aliquam etincidunt numquam,Garfield
2008,1268.45,0,Neque consectetur dolore eius adipisci,Garfield
1996,1239.58,0,Sed ut etincidunt quaerat sit dolorem porro,Garfield
1992,355.20,0,Consectetur sit numquam est est quiquia est dolor,Garfield
1988,1412.75,0,Etincidunt dolor labore tempora,Garfield
2016,1619.59,0,Sed est non ipsum,Garfield
1998,539.64,0,Adipisci neque quaerat quaerat aliquam ipsum non,Garfield 4
1997,1955.34,0,Non neque non quiquia,Garfield Baby
2005,786.76,0,Neque velit quiquia labore voluptatem aliquam dolor sed,Garlands
1984,1853.28,0,Labore amet dolorem aliquam dolore aliquam,Gary
1984,1448.74,0,Adipisci porro aliquam labore,Gary the snail
1998,1308.19,0,Modi labore modi porro quaerat modi,Gene
1981,1752.90,0,Labore amet labore tempora adipisci consectetur tempora labore,George
2019,692.21,0,Tempora voluptatem magnam labore magnam,George
2005,217.55,0,Eius quisquam magnam quisquam ipsum magnam,George
2019,764.96,0,Ipsum modi tempora eius amet ut voluptatem,George
1981,1299.11,0,Modi dolor consectetur dolor voluptatem eius dolorem quisquam,George
2008,1174.61,0,Quiquia aliquam etincidunt neque non consectetur,George
1997,179.50,0,Non tempora dolorem ut tempora dolor tempora,George
2010,1461.97,0,Numquam modi dolore labore aliquam est consectetur,George Super Hero
1983,640.56,0,Sed adipisci dolorem quaerat amet non,Georgia
2008,1622.18,0,Velit labore adipisci etincidunt,Georgia Cherokee Rose
1990,1811.45,0,Dolor aliquam sit adipisci numquam,Gerald Giraffe
1989,1060.55,0,Aliquam magnam magnam dolorem sed dolore etincidunt ipsum,Germania
2003,1730.27,0,Voluptatem consectetur ipsum dolorem labore,Germany
1997,949.92,0,Magnam etincidunt eius est voluptatem magnam adipisci,Ghostio
1985,556.01,0,Sed adipisci sed labore quiquia voluptatem quiquia dolore,Ghoul
1990,283.38,0,Etincidunt aliquam eius aliquam sit quaerat,Ghoulianne
2010,1567.84,0,Quaerat modi quiquia velit quiquia,Ghoulish
1993,679.57,0,Aliquam magnam quiquia est adipisci voluptatem est quaerat,GiGi
1996,29.91,0,Quaerat dolor quaerat modi quisquam velit,Giblets
2004,731.03,0,Adipisci modi dolorem adipisci,Gidget
2006,490.42,0,Non sit dolor voluptatem sit ut,Gift
1986,1742.95,0,Dolorem numquam ipsum modi tempora quaerat quiquia,Gift
1998,551.07,0,Neque adipisci labore quaerat neque ut,Gift
1993,1866.26,0,Labore numquam voluptatem adipisci aliquam,Giganto
1986,1307.72,0,Non numquam etincidunt numquam non,Gills
2006,1085.25,0,Velit etincidunt numquam amet sed eius,Gimmy
2004,1328.61,0,Est tempora ipsum est eius quiquia,Gingerspice
1987,907.77,0,Est labore consectetur sed quisquam aliquam,Gingy
1986,1218.60,0,Quiquia numquam voluptatem neque,Giraffiti
1992,1004.33,0,Adipisci eius neque voluptatem labore,Giving
1985,1399.60,0,Neque non quisquam quiquia consectetur consectetur,Giving
1997,1145.83,0,Ut etincidunt consectetur voluptatem quisquam porro quiquia,Gizmo
1997,1087.08,0,Ipsum velit dolore aliquam consectetur dolore,Glacier
2009,895.97,0,Sit non sit amet tempora,Glacier
2010,386.41,0,Quiquia sit adipisci non adipisci dolore sed,Glam Bag
1999,197.30,0,Voluptatem modi tempora neque quiquia dolorem dolor,Glider
2001,1725.51,0,Amet tempora aliquam est aliquam velit neque ut,Gloria
2017,1644.00,0,Ipsum dolore sit adipisci,Glory
1999,1916.09,0,Eius tempora quaerat est sed consectetur non,Glow
2011,894.31,0,Quaerat neque amet adipisci ut neque non,Goat
2007,1417.55,0,Quisquam sit velit numquam,Goatee
2015,91.21,0,Numquam quiquia amet modi etincidunt ipsum,Gobbled
2016,1144.69,0,Sit est ut aliquam porro quaerat,Gobbles
2011,10.17,0,Est consectetur ipsum sed dolore,Goddess
1986,1545.10,0,Voluptatem velit quaerat dolore dolorem non neque quisquam,Gold Angel Hello Kitty
1984,1054.01,0,Velit numquam tempora ipsum eius ut voluptatem,Golden Peppa
2013,1692.88,0,Dolor labore non quisquam est modi dolor,Goldie
1989,1662.29,0,Porro sed ipsum amet magnam non tempora,Goochy
2008,943.87,0,Quisquam tempora velit quaerat,Goodheart
1995,1452.86,0,Labore adipisci dolor quaerat eius est,Goodnight Garfield
2006,1470.46,0,Adipisci aliquam consectetur modi consectetur adipisci neque etincidunt,Goody
2007,995.23,0,Modi sit eius amet eius consectetur,Goody
2000,1822.25,0,Dolor amet consectetur numquam,Gouliette
