1.1.1.1,1.1.1.0/24
193.121.118.167,192.175.55.32/27
193.19.101.24,192.88.98.101/32
203.83.67.35,198.51.101.216/30
192.89.26.58,192.52.219.128/26
192.0.20.11,192.52.198.112/28
192.84.152.206,203.0.145.32/29
192.52.153.162,192.88.106.168/29
198.51.101.215,198.25.4.248/30
192.31.214.225,192.88.174.97/32
192.88.69.48,198.51.104.64/27
169.242.228.214,192.83.198.115/32
192.175.16.87,203.16.0.0/13
192.0.3.149,198.5.122.128/25
198.51.115.12,203.7.0.0/16
192.1.24.122,203.126.76.136/29
170.75.201.171,169.220.228.128/27
15.76.71.193,203.0.115.204/30
192.175.20.165,203.1.0.0/16
198.51.191.117,203.2.0.0/16
192.168.119.184,192.48.198.128/25
192.89.182.125,203.11.83.192/26
169.224.130.243,203.0.112.136/31
198.53.170.61,192.0.3.128/25
192.113.0.147,192.90.0.0/15
177.233.100.90,169.242.253.0/28
203.13.35.18,192.52.192.192/27
203.10.235.255,170.32.0.0/11
192.83.185.34,198.51.104.168/29
99.221.34.197,192.175.80.0/23
203.6.203.47,2.119.0.0/16
144.210.242.170,203.0.112.48/29
176.73.221.133,202.0.0.0/8
1.113.194.169,192.52.176.0/20
1.180.251.180,203.101.24.0/22
192.2.60.243,1.138.23.32/28
192.59.243.85,201.239.192.0/18
171.143.251.3,192.88.28.0/22
192.175.61.130,192.125.128.0/18
169.250.250.132,200.162.206.64/26
192.88.109.148,198.13.4.240/28
192.88.98.171,192.88.98.128/26
169.143.198.82,124.88.37.128/25
203.21.26.195,192.31.194.64/26
169.248.46.124,103.38.33.128/25
176.177.4.231,203.0.114.160/27
169.226.110.114,192.52.220.128/28
66.42.218.232,124.44.128.0/17
192.174.153.48,161.0.0.0/8
203.14.134.31,203.0.0.0/20
102.27.56.57,2.59.103.224/27
192.88.61.15,192.88.101.128/28
168.241.242.158,192.0.29.92/31
192.52.192.216,192.88.124.74/31
198.45.149.7,192.30.224.0/19
146.142.128.106,192.2.140.82/31
103.38.74.180,192.0.32.0/19
192.31.195.110,136.0.0.0/8
199.34.160.22,198.51.44.174/31
203.59.222.82,192.53.48.0/23
198.51.109.67,192.214.122.112/29
192.53.194.122,203.0.115.0/24
192.88.110.152,192.16.0.0/13
198.33.243.219,126.0.0.0/8
192.88.118.253,192.95.123.246/32
192.175.166.189,3.32.50.32/30
89.150.0.176,192.88.100.0/22
203.148.182.82,192.30.173.0/30
192.31.212.85,192.88.216.160/27
192.52.198.111,192.96.0.0/12
203.104.83.227,169.255.120.120/29
192.53.44.134,192.0.3.240/29
203.0.93.71,192.88.19.128/25
192.174.50.175,192.166.0.0/16
198.36.186.9,192.31.248.0/22
192.89.119.250,206.67.35.0/26
192.52.240.232,192.0.12.0/22
198.42.216.33,192.52.202.128/25
192.52.195.133,198.51.107.115/32
192.175.54.214,168.208.35.48/28
193.202.216.73,104.0.0.0/5
192.95.221.124,199.250.0.0/17
192.11.68.231,192.50.40.0/21
192.23.131.212,169.248.0.0/14
195.48.185.133,192.175.106.148/32
203.0.0.112,192.0.211.56/31
203.0.78.106,9.224.0.0/11
198.39.102.122,192.88.100.0/22
192.0.225.39,192.52.203.0/24
168.177.249.236,94.13.160.0/19
200.208.103.132,198.49.175.224/27
209.157.103.64,169.252.0.0/15
169.214.224.40,192.107.0.0/18
192.30.226.156,192.86.236.0/26
192.31.237.232,199.14.132.0/22
123.174.40.61,192.0.50.185/32
192.31.197.167,192.50.52.0/27
192.52.242.106,192.52.195.8/29
198.23.31.115,192.52.194.168/30
98.223.74.49,192.52.103.80/29
192.175.96.45,192.31.197.0/24
192.162.59.104,142.80.0.0/12
167.120.52.113,192.175.248.0/21
192.173.49.97,100.202.240.32/28
192.53.44.62,203.0.116.48/28
202.12.179.251,192.88.244.0/23
203.0.112.129,203.0.0.0/19
192.2.155.118,192.2.0.0/18
192.88.149.50,198.51.97.96/28
192.0.4.51,192.88.64.0/20
192.174.235.16,178.230.0.0/16
192.88.71.251,192.88.80.164/32
169.244.77.70,203.0.116.148/31
198.56.55.246,192.88.127.64/27
168.236.25.202,168.236.0.0/15
198.36.38.143,192.46.45.14/31
198.50.169.79,192.0.30.128/25
192.2.80.66,83.128.0.0/9
168.57.101.176,198.45.190.0/24
198.50.24.56,198.53.0.0/20
102.239.219.135,126.239.104.0/22
192.17.164.74,192.52.62.64/28
192.88.104.132,198.50.67.64/26
192.52.222.84,169.247.183.58/31
203.0.114.160,192.110.77.231/32
198.51.183.33,192.30.123.224/29
198.55.240.222,192.52.195.0/24
12.248.0.252,192.0.20.0/24
203.0.4.76,169.108.216.0/22
192.0.1.73,192.175.49.0/26
198.51.99.177,160.0.0.0/5
192.52.206.31,192.19.0.0/16
192.90.188.0,192.28.120.0/21
192.52.148.174,192.88.103.224/27
192.30.236.81,198.67.233.0/24
192.52.194.174,192.52.33.96/27
198.51.162.132,169.253.0.0/16
192.31.220.148,192.31.163.160/29
192.23.11.248,198.61.48.0/20
112.103.254.53,192.0.21.0/25
192.155.37.26,203.14.17.60/30
198.51.111.174,169.240.0.0/13
166.110.126.106,198.72.0.0/13
192.29.41.56,169.255.0.0/17
7.240.177.162,203.0.112.224/30
101.198.219.193,192.0.4.0/23
192.174.226.0,192.88.96.240/29
192.0.7.52,169.224.52.0/22
192.175.51.152,198.38.240.0/22
192.203.120.143,203.0.26.0/28
10.174.68.66,169.252.0.0/15
198.51.70.3,192.88.130.216/29
169.250.252.172,198.51.101.172/32
2.213.191.90,198.48.0.0/15
192.173.36.187,101.96.255.208/30
192.181.128.22,198.53.0.0/18
170.121.103.22,124.155.55.176/28
192.88.204.24,203.0.102.16/30
192.88.101.79,192.88.98.192/26
192.90.215.50,192.81.0.0/16
192.90.155.158,9.128.0.0/10
126.243.200.157,192.175.16.0/21
192.31.230.250,97.73.129.0/25
192.0.177.140,176.233.128.0/18
192.27.22.212,56.196.0.0/14
203.0.112.236,192.52.248.0/22
203.0.238.29,169.232.0.0/14
203.0.162.132,192.31.197.32/27
194.118.98.36,191.192.0.0/11
203.0.114.157,198.51.103.68/31
169.245.124.86,192.165.191.64/27
192.175.49.67,192.52.194.116/30
192.53.118.97,169.255.104.0/22
6.169.68.115,192.0.48.0/20
206.44.176.243,192.170.57.176/28
169.244.120.227,192.52.232.0/23
203.0.102.135,211.64.0.0/11
161.166.117.174,124.204.0.0/14
22.125.148.197,100.192.0.0/10
192.31.199.116,192.88.126.43/32
126.77.196.177,202.22.96.0/19
203.103.155.112,192.171.64.0/20
203.34.51.71,192.175.0.0/19
198.51.206.237,192.89.142.224/27
192.31.193.64,110.32.0.0/12
192.185.144.140,198.219.90.24/29
169.252.68.229,192.98.64.0/20
169.59.0.111,193.15.208.0/20
192.175.80.147,198.49.90.182/31
114.224.131.209,192.0.41.0/25
192.0.18.223,203.0.124.0/24
108.227.235.185,198.51.102.0/23
192.173.147.240,198.10.229.0/24
192.175.217.121,198.20.112.0/20
203.0.112.251,203.0.112.144/29
203.0.115.241,192.31.197.128/27
203.0.112.104,192.176.0.0/12
192.91.6.234,192.52.155.192/26
192.77.117.250,192.175.128.0/18
12.118.207.151,192.35.90.0/23
203.13.19.115,203.0.44.0/22
192.52.220.195,198.51.103.0/24
169.189.157.7,108.0.0.0/6
171.111.232.91,203.212.0.0/14
192.31.42.40,192.149.207.128/26
192.70.203.124,13.0.0.0/8
192.50.174.211,192.31.59.80/29
192.52.118.30,192.0.160.0/20
1.231.185.3,175.0.0.0/8
211.86.175.3,192.88.96.192/26
169.181.231.245,165.21.30.252/30
203.230.245.179,198.0.0.0/13
192.30.234.232,203.0.0.0/18
198.55.184.1,205.175.48.0/21
169.249.198.60,192.175.0.160/29
192.0.20.37,192.31.9.114/32
192.212.225.35,11.95.224.0/21
203.0.92.73,198.17.36.0/23
192.0.17.136,201.104.128.0/17
203.0.100.50,114.104.0.0/14
192.52.196.93,203.0.119.12/30
192.177.224.251,192.177.224.0/22
198.51.101.27,192.175.60.229/32
100.36.218.147,198.22.52.192/26
116.117.124.168,203.14.8.63/32
192.55.184.247,192.31.153.144/28
201.152.70.185,192.88.114.128/25
198.51.98.145,192.52.210.0/24
192.88.103.194,192.0.0.0/7
192.175.10.172,192.88.98.144/29
192.31.165.166,192.6.233.160/28
198.51.109.66,198.51.108.68/30
192.19.83.176,192.68.0.0/14
198.51.65.94,198.51.64.0/21
203.14.171.106,192.158.224.0/22
2.50.60.211,2.50.60.0/24
203.0.76.246,192.175.54.224/27
198.178.32.146,192.173.202.0/26
192.0.229.158,206.165.0.0/16
198.39.13.143,192.0.6.104/29
203.119.48.242,126.21.30.0/23
192.52.188.102,192.1.42.128/28
192.175.59.139,203.0.13.192/27
192.28.7.229,192.52.0.0/25
192.31.39.12,198.54.0.0/16
192.88.96.42,192.53.206.146/32
192.2.84.83,192.52.204.162/31
203.1.215.136,126.78.252.0/25
169.255.64.228,192.172.202.168/30
198.13.152.255,198.9.0.0/18
192.31.197.255,192.7.224.0/20
192.175.49.22,192.88.96.0/23
192.52.64.50,198.22.0.0/15
91.103.247.208,121.192.0.0/13
192.175.123.206,7.166.86.0/23
126.191.196.24,192.150.18.0/23
192.175.49.128,168.81.151.85/32
192.1.224.112,202.144.16.0/20
192.52.231.0,192.157.0.0/16
192.170.114.224,192.88.97.244/30
192.2.169.242,206.48.201.0/24
192.175.49.111,203.0.119.128/29
192.0.85.15,198.51.101.0/26
192.0.148.108,192.4.128.0/17
192.88.103.4,198.51.99.0/24
192.0.92.133,198.51.73.136/30
192.88.96.98,198.12.84.0/24
192.175.167.197,198.242.174.44/31
193.193.151.82,192.17.192.0/20
192.88.30.137,192.80.0.0/13
192.0.79.189,198.51.101.192/26
199.177.53.46,192.31.199.160/27
198.51.107.217,198.48.198.0/23
198.16.22.50,160.0.0.0/6
192.52.192.12,203.0.112.124/31
101.242.57.117,192.175.128.0/17
198.3.121.185,203.28.172.243/32
192.41.84.35,192.22.64.0/18
192.62.127.167,126.192.0.0/12
192.175.43.100,192.52.200.128/26
192.0.11.184,203.0.107.32/28
198.51.101.179,203.0.116.0/23
203.0.98.120,192.0.3.0/25
203.6.136.251,192.0.64.0/19
198.51.114.131,192.64.0.0/12
192.3.97.217,192.0.99.72/30
203.33.251.21,198.51.96.0/24
192.52.195.88,169.216.67.208/29
192.175.42.22,192.52.254.0/25
203.23.139.41,198.50.165.0/25
198.51.141.27,192.88.98.128/25
69.227.161.100,198.49.0.0/17
192.0.210.78,192.175.51.40/29
192.175.49.226,169.56.211.176/31
198.51.113.47,198.51.102.0/23
192.120.197.160,203.10.163.98/31
192.175.107.144,192.175.49.128/25
14.10.157.250,192.0.100.192/29
192.0.124.51,192.31.198.0/25
192.31.166.187,192.52.201.120/29
192.183.37.233,169.248.0.0/16
169.234.225.37,192.88.98.128/25
192.52.209.27,18.47.108.0/27
192.7.60.165,192.30.0.0/16
192.52.192.29,203.85.148.118/31
203.0.112.198,198.51.103.103/32
203.0.223.251,192.172.172.24/31
192.52.194.44,203.0.112.150/31
192.31.67.106,203.27.70.0/24
192.0.226.11,192.29.93.0/24
192.172.67.163,169.224.46.32/28
203.0.102.186,169.255.0.0/19
169.51.244.236,192.31.156.0/22
192.175.54.74,169.240.128.0/20
169.235.1.199,192.52.207.0/26
198.51.103.108,198.16.224.0/20
203.45.144.174,192.0.62.0/25
3.9.207.189,203.0.32.0/19
198.51.99.128,192.52.192.192/28
192.53.185.8,192.89.207.120/32
126.94.201.99,3.112.0.0/18
192.52.186.11,192.174.240.0/20
198.17.1.220,192.88.100.232/29
203.0.208.229,169.255.135.100/31
192.31.237.169,198.51.112.60/32
101.125.253.35,192.52.224.0/24
198.245.24.74,172.0.0.0/6
192.175.35.50,174.0.0.0/10
192.0.1.196,198.51.101.0/24
192.31.254.139,203.0.114.0/23
199.133.158.73,192.0.56.94/31
192.88.98.11,192.52.213.208/28
192.93.22.83,192.175.16.0/20
192.31.131.3,192.88.98.192/26
192.62.153.100,203.56.0.0/13
1.60.119.151,168.74.214.205/32
197.191.143.250,192.31.197.192/27
101.193.180.124,45.0.101.232/29
192.52.196.215,192.175.57.49/32
169.250.126.180,203.20.0.0/14
192.116.34.140,203.112.0.0/14
192.175.50.10,171.123.223.116/31
198.22.23.218,125.56.192.192/26
164.216.34.236,192.52.198.128/26
192.31.192.95,198.57.240.0/20
192.0.3.8,192.0.5.0/25
105.181.66.91,192.174.29.254/32
199.204.66.252,192.0.32.0/20
126.205.118.231,192.153.12.112/29
192.175.52.20,192.1.0.0/16
100.50.231.186,192.172.88.0/23
192.31.216.85,169.248.0.0/17
192.52.195.138,192.172.48.0/20
203.31.224.117,192.88.112.0/22
203.0.1.145,192.31.202.0/23
192.175.51.221,192.31.214.0/23
192.0.3.56,192.0.4.100/30
192.0.3.174,192.0.14.37/32
198.55.51.171,192.31.197.146/31
198.54.3.47,192.31.202.60/31
192.174.107.204,192.93.1.112/28
103.188.103.86,198.16.232.0/25
192.95.124.20,163.43.248.176/28
203.4.38.11,192.88.108.0/25
192.88.110.117,192.88.108.0/22
192.31.199.146,192.0.1.0/24
162.218.182.193,193.14.192.0/22
198.43.172.204,192.44.67.0/26
198.51.95.130,192.0.1.0/26
203.1.201.182,100.214.64.0/18
192.168.27.195,169.218.14.0/24
169.251.234.202,1.3.89.0/24
169.255.32.175,203.0.115.66/31
203.0.249.208,192.10.102.64/29
192.88.96.143,194.209.1.72/30
198.49.144.213,192.187.48.0/20
192.55.132.92,83.61.49.0/25
192.0.1.0,198.51.67.232/29
192.30.162.173,192.88.115.152/31
198.51.98.174,192.0.8.96/29
102.123.161.160,203.26.0.0/15
192.89.21.161,192.88.96.176/32
203.8.240.18,104.0.0.0/6
169.95.14.240,198.196.131.252/30
169.201.12.44,192.31.199.240/28
192.0.45.238,192.0.3.64/26
192.88.100.79,192.91.104.0/21
192.88.97.164,192.89.182.0/24
192.31.191.10,70.154.13.48/28
192.14.170.192,203.0.144.0/20
192.88.107.142,192.0.184.0/22
96.147.74.187,192.0.16.96/28
192.88.125.45,203.0.32.0/19
192.175.59.176,45.61.69.228/31
162.3.147.246,169.92.125.224/27
169.240.116.231,125.99.128.0/17
192.52.216.144,169.203.166.250/31
169.252.246.61,192.88.98.0/25
192.0.22.114,192.61.73.216/31
192.88.103.185,199.12.0.0/14
169.241.85.248,115.171.241.32/28
198.5.231.10,203.0.80.0/20
192.0.9.118,91.124.195.108/30
192.88.186.154,198.14.235.0/27
192.31.197.215,198.51.101.197/32
192.90.235.51,192.5.154.68/30
192.6.64.151,18.224.0.0/12
192.175.9.65,147.32.0.0/11
192.88.98.134,198.51.111.80/29
192.175.186.179,192.91.208.0/20
198.51.127.238,10.34.0.0/16
192.31.200.70,198.51.80.0/20
192.22.164.221,192.175.53.64/26
101.19.108.178,192.88.98.192/26
192.175.49.160,203.0.106.38/32
192.172.181.143,198.51.64.0/19
203.0.114.251,192.69.0.0/16
198.23.22.164,203.214.90.155/32
186.21.183.191,198.12.0.0/14
192.173.154.239,192.31.199.0/24
220.247.110.76,192.55.225.54/31
192.31.50.109,195.102.227.128/26
192.175.60.64,101.39.160.0/19
192.88.255.253,198.224.0.0/11
192.52.194.230,198.51.101.236/30
202.15.243.6,192.190.47.160/27
192.0.40.220,198.27.0.0/16
210.237.241.215,192.52.107.0/24
101.131.109.250,192.88.103.0/27
169.248.64.168,192.88.116.0/25
192.0.71.101,198.90.181.192/27
201.10.104.255,3.118.32.180/30
192.52.215.29,198.56.27.120/32
192.175.177.77,192.88.0.0/18
192.175.62.50,192.88.96.0/23
192.88.119.102,192.1.192.0/18
198.51.104.192,192.88.100.144/29
192.31.130.99,192.168.212.160/29
198.51.103.237,192.29.32.0/20
169.105.164.125,192.238.0.0/16
192.12.67.72,193.211.80.0/20
192.53.75.79,192.90.144.0/20
192.168.235.138,67.16.0.0/13
192.88.98.72,198.55.231.0/25
198.51.113.178,192.31.197.0/24
198.54.201.145,198.51.101.0/26
192.136.15.251,192.0.1.96/27
203.0.75.194,198.10.128.0/17
192.175.19.211,192.52.113.128/28
192.25.135.89,163.196.192.0/18
192.226.227.122,192.48.0.0/14
192.31.203.103,192.24.19.16/28
192.52.194.192,192.31.199.112/28
198.31.90.136,198.61.0.0/18
192.25.221.69,192.31.198.64/26
192.31.197.240,198.49.131.64/26
203.0.118.174,192.88.101.15/32
203.0.128.95,192.55.150.0/23
192.175.178.240,169.190.192.0/18
28.21.197.12,101.222.34.52/30
192.88.102.82,192.0.3.224/27
111.84.24.243,168.153.123.40/29
192.58.120.174,15.166.64.0/19
169.250.63.36,192.27.32.0/20
203.0.121.216,192.32.0.0/12
192.88.188.41,192.0.0.0/3
198.44.90.253,7.72.218.6/31
190.233.143.196,122.208.0.0/13
192.113.135.77,192.107.192.0/18
192.175.51.246,192.88.32.0/23
192.144.45.122,192.175.49.32/30
203.6.221.186,192.55.226.216/29
192.88.88.208,192.52.203.128/27
198.51.97.123,192.175.146.0/26
169.255.157.72,203.0.112.0/24
192.23.189.85,198.51.101.192/29
206.89.20.209,192.166.64.0/22
192.171.43.126,126.213.56.0/21
203.1.104.248,192.175.118.176/30
192.89.45.202,192.165.142.204/30
108.168.243.140,205.122.6.147/32
192.31.194.140,198.11.0.0/16
192.251.225.248,192.55.212.0/22
169.250.147.118,169.145.198.0/23
67.9.211.124,192.50.0.0/16
169.255.87.71,203.66.133.128/25
203.0.112.251,197.27.128.0/18
203.10.206.143,169.253.247.222/31
195.89.39.98,192.88.98.0/25
192.88.96.158,192.52.194.0/25
192.175.14.75,198.58.112.128/28
192.31.198.117,217.176.54.96/29
192.89.228.140,203.48.0.0/13
198.51.103.59,126.247.153.160/28
192.165.77.200,198.49.150.244/30
154.155.103.54,192.0.32.0/20
192.54.129.138,192.88.102.0/30
203.147.182.139,192.164.221.128/28
192.0.150.53,192.93.64.0/19
192.54.191.242,193.142.0.0/16
4.144.73.8,192.175.23.64/28
192.175.49.217,192.88.98.0/26
126.172.36.187,192.45.32.80/28
147.123.136.114,198.20.224.0/19
192.93.221.126,203.35.140.87/32
15.78.10.176,192.31.139.130/32
200.59.172.18,203.0.115.0/24
192.174.58.98,169.241.123.32/29
100.14.217.245,192.52.207.104/29
192.52.204.29,192.30.112.0/22
192.0.58.110,198.51.20.130/31
125.255.104.93,192.190.16.0/20
199.92.248.233,192.0.1.48/28
192.52.91.32,203.0.112.0/25
198.51.13.90,198.63.110.220/31
1.245.150.60,192.31.197.74/31
192.96.121.96,192.92.156.21/32
192.250.128.76,203.1.134.64/27
192.2.193.37,169.210.0.0/18
207.9.234.124,192.0.7.104/31
192.175.38.4,192.60.32.0/20
157.169.27.202,192.24.0.0/14
198.50.39.217,192.89.95.120/29
192.174.223.95,6.238.147.0/28
192.12.235.172,203.0.218.192/27
100.22.211.182,202.250.80.0/23
192.0.42.204,197.128.0.0/9
192.0.3.130,192.175.107.188/30
2.120.223.87,192.76.0.0/14
192.31.187.134,192.6.85.176/29
192.66.68.194,192.31.239.160/27
198.51.101.4,192.88.32.0/20
202.227.19.46,192.52.192.128/25
108.38.213.240,201.29.55.128/25
192.175.57.226,198.51.42.224/28
169.229.228.199,198.31.128.0/17
198.25.252.26,169.4.64.0/20
203.61.157.6,192.53.20.85/32
192.88.100.176,115.79.60.0/23
192.189.133.101,192.52.208.0/20
169.255.208.10,203.5.189.80/29
192.175.16.194,192.31.197.64/26
198.255.210.199,192.232.0.0/13
159.77.59.91,5.51.184.0/22
105.232.86.221,105.232.0.0/15
105.232.86.21,105.232.0.0/15
105.232.86.2,105.232.0.0/15
105.232.86.121,105.232.0.0/15
105.232.86.11,105.232.0.0/15
105.232.86.81,105.232.0.0/15
105.232.86.91,105.232.0.0/15
105.232.86.95,105.232.0.0/15
105.232.86.72,105.232.0.0/15
105.232.86.25,105.232.0.0/15
105.232.86.28,105.232.0.0/15
105.232.86.41,105.232.0.0/15
105.232.86.88,105.232.0.0/15
169.249.255.160,192.30.177.224/29
103.113.45.180,170.24.0.0/13
198.59.180.118,203.0.202.0/23
192.0.24.129,198.51.101.88/29
192.31.251.253,26.232.48.0/29
201.189.124.5,192.52.166.24/29
192.88.109.245,192.88.109.240/28
192.0.24.129,169.2.0.0/15
168.233.194.59,102.152.128.0/18
192.83.143.5,168.102.64.0/18
192.88.180.182,198.25.0.0/16
198.57.114.226,192.69.252.216/29
198.51.77.40,192.31.198.216/29
192.174.165.28,192.0.68.0/23
23.187.195.85,192.16.211.0/24
192.52.115.105,169.237.103.128/27
198.59.222.41,192.52.228.36/32
118.23.55.126,118.0.0.0/9
192.52.195.15,203.0.114.244/31
192.0.205.157,198.51.62.80/28
192.31.152.183,192.156.128.0/18
201.118.179.174,198.51.102.0/23
1.255.55.19,203.49.65.112/28
192.52.194.135,198.42.0.0/16
100.50.45.90,30.0.0.0/8
12.197.168.62,192.88.98.56/29
192.52.240.11,192.92.0.0/14
192.0.129.146,192.54.173.0/24
198.56.205.34,198.16.70.72/29
192.0.78.218,192.31.201.192/29
100.134.221.142,192.175.18.128/27
192.88.203.56,192.31.197.0/24
171.233.164.187,192.90.216.0/21
169.240.204.231,192.48.81.176/29
203.0.112.197,192.173.180.0/23
192.52.162.76,198.27.201.16/30
192.31.199.162,169.64.0.0/10
169.255.215.5,192.88.120.0/21
192.48.239.109,198.88.135.211/32
202.168.184.173,192.18.128.0/17
192.31.236.131,169.248.206.0/23
198.51.98.164,192.2.194.40/30
192.0.7.83,192.31.206.0/27
192.27.108.162,192.56.0.0/14
1.114.19.179,203.19.184.0/21
192.175.51.44,192.0.4.184/32
198.116.83.100,169.252.229.80/32
192.79.59.226,198.51.18.151/32
192.0.82.196,192.31.192.76/30
211.180.46.107,48.0.0.0/8
192.2.3.205,101.64.0.0/10
198.51.137.43,192.31.197.192/26
101.104.76.111,169.244.0.0/15
198.52.21.221,169.88.0.0/14
192.0.3.47,192.88.5.0/24
169.8.149.243,192.31.198.128/26
203.3.245.99,203.0.115.212/31
192.175.50.70,198.15.27.64/26
192.30.133.83,198.49.116.192/26
192.10.186.181,203.4.16.0/21
192.88.64.86,192.30.43.160/28
192.52.199.72,57.27.224.0/19
192.52.22.13,192.94.222.64/27
192.24.143.29,193.180.96.124/30
101.170.30.1,192.175.253.96/27
192.90.16.186,192.53.113.180/32
192.88.30.239,192.174.65.0/26
192.31.134.45,169.253.130.0/24
203.0.99.132,203.2.192.0/19
192.31.199.108,192.1.181.0/25
192.31.212.92,125.133.146.18/31
192.175.58.26,203.28.0.0/15
192.52.192.17,192.0.3.0/27
199.213.177.238,222.130.247.192/26
198.51.102.140,203.3.96.0/20
192.52.194.39,198.51.80.0/20
169.242.141.170,192.0.1.128/25
198.51.30.230,192.1.20.4/30
192.187.123.123,203.0.123.0/24
192.88.109.81,192.153.32.196/31
192.0.86.128,198.51.103.24/31
192.183.44.107,192.88.72.0/21
192.52.200.70,192.87.192.0/20
11.25.182.176,192.92.0.0/14
198.49.126.158,22.106.80.0/20
192.31.205.213,192.79.0.0/16
198.46.40.236,198.17.0.0/17
100.8.173.19,192.175.49.192/26
198.51.99.38,50.128.0.0/10
192.31.214.104,192.31.192.182/31
192.31.198.96,192.169.32.0/21
198.51.66.252,192.31.199.64/26
192.67.116.246,214.13.64.0/19
192.52.39.137,192.175.49.68/30
192.31.98.13,103.47.64.0/18
198.25.190.8,198.25.190.0/25
198.51.83.96,198.49.145.152/32
192.175.50.19,199.101.24.0/22
198.46.53.16,192.0.6.0/24
192.16.193.64,211.82.65.56/32
192.0.219.204,192.13.28.96/28
192.175.128.89,192.175.21.34/31
192.0.3.132,203.31.230.192/27
192.52.221.216,203.0.114.160/28
203.0.85.63,198.51.96.192/28
100.4.23.6,192.31.128.0/19
203.0.116.168,203.0.32.0/22
192.31.216.95,198.162.128.0/17
203.0.125.56,126.195.235.36/32
198.25.190.7,198.25.190.0/25
198.51.95.211,198.27.128.0/17
202.74.241.124,52.97.76.0/22
169.198.173.73,198.51.103.96/27
181.21.149.205,192.31.212.0/23
198.25.190.1,198.25.190.0/25
169.242.80.147,102.101.0.0/16
192.55.212.235,192.90.82.232/30
198.43.145.214,202.121.88.32/27
192.0.14.205,192.52.65.128/27
192.31.200.232,203.0.121.124/32
192.34.159.219,192.167.64.0/19
192.1.41.233,64.151.0.0/16
68.8.13.13,192.1.74.240/30
99.51.242.46,192.1.242.128/25
198.22.245.137,192.88.169.128/26
192.54.157.24,203.4.30.0/24
192.31.236.150,198.34.232.240/28
6.21.130.197,202.240.0.0/16
185.216.12.135,111.180.0.0/16
175.61.148.171,192.31.195.145/32
198.8.222.222,203.176.0.0/20
192.175.66.14,203.0.112.128/26
192.88.110.67,169.241.64.0/18
192.52.163.59,192.54.60.0/22
192.175.50.52,201.32.0.0/15
197.208.203.167,192.0.24.0/23
169.251.228.88,192.31.194.136/29
194.254.198.243,192.52.221.148/31
192.130.68.80,203.0.112.0/25
203.5.223.9,192.0.128.0/20
198.28.47.14,198.28.58.0/26
192.175.55.119,102.46.64.0/19
168.107.63.197,198.51.110.0/23
199.176.64.3,205.237.50.224/27
192.52.227.198,198.51.110.52/31
9.73.77.154,192.175.63.64/30
198.51.22.198,110.160.0.0/12
203.185.223.108,5.65.229.0/26
192.52.199.253,192.0.8.32/27
192.235.78.162,192.22.0.0/17
203.0.15.8,198.51.102.160/28
192.88.96.66,198.63.35.192/26
198.51.84.223,3.240.55.0/26
192.52.192.118,160.0.0.0/5
3.208.185.42,192.53.54.0/25
169.250.215.123,120.89.72.0/21
192.0.44.0,203.3.160.0/19
196.23.29.198,192.53.239.0/25
192.175.59.171,3.201.29.0/24
20.219.126.124,201.42.25.192/27
192.175.49.96,192.175.0.96/27
169.236.204.136,192.52.200.0/21
192.175.4.103,192.0.64.0/18
192.88.122.62,205.219.128.0/19
192.52.93.185,192.175.49.128/26
192.89.143.88,192.88.105.196/32
169.198.23.224,192.0.8.0/22
192.160.21.80,192.53.0.0/16
192.52.194.233,192.155.1.160/29
192.0.3.15,192.0.189.168/29
192.175.54.16,192.175.10.228/30
192.88.130.120,192.3.240.0/20
102.117.162.98,192.93.0.0/16
198.121.29.178,100.192.0.0/11
200.218.244.38,192.175.57.4/30
192.31.37.108,113.164.165.0/24
192.90.235.84,192.52.202.0/23
192.175.155.227,169.174.194.0/23
196.252.226.139,192.89.206.160/27
192.175.59.52,192.0.106.228/30
192.31.198.30,192.175.128.0/17
205.152.125.198,203.0.31.142/32
198.22.144.65,192.175.49.192/26
192.0.100.103,13.255.0.0/18
203.0.118.78,198.51.101.48/30
203.0.178.92,192.0.29.112/29
192.57.6.81,192.31.160.0/19
169.116.94.149,128.92.176.0/20
198.16.229.26,192.1.90.212/31
192.88.15.84,192.112.192.0/18
173.93.175.248,203.17.162.0/23
192.0.15.109,203.0.97.48/31
192.88.108.119,192.33.46.0/23
192.31.199.49,2.240.228.144/31
203.0.111.250,192.165.56.0/21
198.51.96.58,192.174.46.224/27
198.51.77.176,169.252.32.0/20
198.59.249.121,192.31.166.128/26
192.0.3.100,203.0.123.192/27
192.89.97.112,198.51.88.0/21
192.31.198.38,192.52.200.0/22
192.88.98.61,192.31.230.18/32
203.0.112.196,128.0.0.0/5
167.41.204.20,203.66.0.0/15
100.58.149.209,203.0.114.0/25
199.213.246.156,124.168.32.0/19
169.132.40.254,198.51.106.80/28
192.12.141.114,198.117.0.0/16
198.51.147.106,192.185.32.0/21
192.31.197.23,203.0.40.0/21
192.80.218.229,192.52.192.0/24
203.0.114.163,198.51.80.0/27
192.52.192.255,198.50.26.250/31
198.55.204.55,190.99.67.187/32
198.51.101.140,203.49.125.0/24
199.92.45.95,192.2.110.208/29
192.126.57.133,192.56.4.0/23
203.35.30.239,203.0.89.0/25
192.25.1.25,162.0.0.0/7
192.175.54.212,198.51.101.64/27
